Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Network_Stability_Index,Latency_Sensitivity_Score
19-01-2025,15:34:00,26,Active,40.297,4.658,4.833,16.165,2.073,1.492,76.711,0.316,4.434,Low,63.105000000000004,4.4690358287212355
19-01-2025,15:35:00,3,Idle,33.36,4.336,7.271,24.612,1.044,0.081,231.029,0.723,9.781,Low,64.94800000000001,9.020342027174761
19-01-2025,15:36:00,44,Maintenance,74.028,2.501,5.062,7.643,0.072,1.169,291.072,0.972,6.601,Low,91.637,33.67719541825755
19-01-2025,15:37:00,28,Active,33.942,0.611,3.173,24.572,0.94,2.959,423.556,0.073,1.145,High,66.02799999999999,16.563272329109964
19-01-2025,15:38:00,44,Active,70.014,3.437,4.714,2.034,2.729,2.85,149.095,0.548,6.172,Low,70.676,49.14139749505603
19-01-2025,15:39:00,17,Idle,70.399,2.461,8.22,11.01,3.637,9.548,414.091,0.035,2.739,Medium,52.62,34.478850957535386
19-01-2025,15:40:00,38,Active,42.731,3.239,4.0,9.598,3.051,2.18,403.653,0.302,2.32,Medium,59.891999999999996,38.08765804868843
19-01-2025,15:41:00,47,Active,34.244,0.784,4.61,29.065,0.368,5.435,379.398,0.467,8.383,Low,67.255,12.619258273740229
19-01-2025,15:42:00,30,Idle,31.677,1.456,5.47,21.613,3.002,0.97,72.943,0.319,2.068,Low,48.367000000000004,3.225710874275859
19-01-2025,15:43:00,2,Active,75.767,1.269,8.747,29.488,2.357,2.599,87.137,0.653,10.612,Low,46.94200000000001,2.858075308318027
19-01-2025,15:44:00,8,Maintenance,68.649,2.043,7.014,1.891,2.811,4.232,163.141,0.499,2.872,Low,69.999,56.430646835005184
19-01-2025,15:45:00,14,Maintenance,49.781,1.762,6.805,21.707,3.137,6.481,300.099,0.871,11.209,Low,46.923,13.216144801162637
19-01-2025,15:46:00,37,Active,55.773,0.761,2.674,25.441,4.868,4.749,412.635,0.709,7.108,Low,25.879000000000005,15.605877236110587
19-01-2025,15:47:00,35,Active,48.68,0.601,8.689,7.771,3.038,7.282,132.008,0.263,1.29,Low,61.849000000000004,15.0505073537795
19-01-2025,15:48:00,42,Idle,62.451,4.565,1.886,10.519,3.503,9.493,320.389,0.143,6.038,Low,54.451,27.8139595450994
19-01-2025,15:49:00,39,Maintenance,38.343,3.503,5.732,48.307,0.874,4.605,323.605,0.07,14.534,Low,42.952999999999996,6.563064067982234
19-01-2025,15:50:00,11,Active,59.071,3.834,3.772,20.846,0.709,1.15,58.283,0.561,13.225,Low,72.064,2.667902590863316
19-01-2025,15:51:00,15,Active,42.253,3.225,9.041,8.254,0.62,6.497,407.153,0.155,14.149,Low,85.54599999999999,43.99751458828615
19-01-2025,15:52:00,2,Active,58.083,4.176,5.629,2.862,3.277,7.657,95.754,0.7,12.535,Low,64.368,24.79388917659244
19-01-2025,15:53:00,37,Active,81.152,2.455,8.257,31.876,0.65,5.165,408.952,0.257,3.648,Medium,61.624,12.439226183233968
19-01-2025,15:54:00,43,Active,86.734,4.044,4.592,17.133,4.761,3.475,251.584,0.333,8.239,Low,35.257000000000005,13.874372690674463
19-01-2025,15:55:00,32,Active,42.1,3.048,5.499,41.087,2.75,8.861,104.577,0.5,10.911,Low,31.412999999999997,2.4847815239860287
19-01-2025,15:56:00,40,Active,45.029,3.943,7.475,16.086,3.442,5.304,142.831,0.759,12.421,Low,49.494,8.359534121502985
19-01-2025,15:57:00,13,Active,79.328,3.651,6.848,3.54,3.294,8.094,99.285,0.718,1.591,Low,63.519999999999996,21.86894273127753
19-01-2025,15:58:00,43,Idle,62.079,4.161,5.306,7.954,1.373,4.896,490.871,0.708,5.087,Low,78.316,54.82142059414786
19-01-2025,15:59:00,17,Active,37.871,4.912,7.641,46.952,4.281,3.465,369.105,0.561,13.754,Low,10.238,7.697384884884886
19-01-2025,16:00:00,15,Idle,76.889,4.103,7.711,32.825,4.36,1.627,283.138,0.206,13.466,Low,23.57499999999999,8.370672579453066
19-01-2025,16:01:00,33,Active,66.609,0.27,4.741,36.921,0.149,3.917,78.339,0.596,4.028,Low,61.589,2.065847419635558
19-01-2025,16:02:00,16,Active,80.561,2.439,1.751,27.223,1.981,4.666,213.669,0.934,5.707,Low,52.967,7.570740176451831
19-01-2025,16:03:00,13,Active,58.441,2.364,4.056,44.949,4.903,9.47,436.31,0.385,12.195,Low,6.021000000000015,9.495527650220897
19-01-2025,16:04:00,22,Active,53.827,4.975,3.812,39.877,2.986,9.372,267.858,0.351,9.419,Low,30.26299999999999,6.552780292095799
19-01-2025,16:05:00,23,Active,44.408,1.578,4.987,27.63,4.319,7.98,98.249,0.856,13.456,Low,29.180000000000007,3.431680055885435
19-01-2025,16:06:00,36,Idle,38.312,3.479,2.014,6.428,0.078,9.505,481.493,0.522,1.55,High,92.792,64.82135164243404
19-01-2025,16:07:00,43,Active,74.973,2.127,4.694,40.6,2.158,5.352,472.874,0.548,3.631,Medium,37.82,11.367163461538462
19-01-2025,16:08:00,50,Active,31.081,3.366,7.298,35.791,4.105,5.039,56.266,0.36,13.432,Low,23.158999999999992,1.5293414150199778
19-01-2025,16:09:00,50,Active,40.042,1.141,3.054,13.219,2.403,8.985,165.214,0.89,3.608,Low,62.751,11.61924185948379
19-01-2025,16:10:00,10,Active,39.488,3.062,9.013,41.857,3.332,9.576,198.106,0.199,13.696,Low,24.823000000000008,4.622488741629139
19-01-2025,16:11:00,17,Active,89.499,2.276,8.52,5.918,0.436,8.198,376.927,0.045,12.403,Low,89.722,54.48496675339694
19-01-2025,16:12:00,30,Active,40.747,2.037,9.193,42.967,2.839,9.265,475.045,0.584,4.89,Medium,28.643,10.804580708258467
19-01-2025,16:13:00,13,Active,70.498,4.139,8.982,3.67,3.457,5.232,259.078,0.109,5.803,Low,61.76,55.47708779443254
19-01-2025,16:14:00,30,Active,65.974,4.63,8.608,42.397,1.494,7.334,166.721,0.045,1.772,Low,42.663,3.8417632555245755
19-01-2025,16:15:00,46,Active,31.843,1.804,5.343,19.848,1.995,5.167,188.384,0.101,7.037,Low,60.202,9.036070606293169
19-01-2025,16:16:00,30,Active,71.662,2.354,9.38,11.016,0.068,6.974,208.498,0.737,13.641,Low,88.304,17.35169773635153
19-01-2025,16:17:00,7,Idle,78.011,2.506,5.587,43.352,3.701,5.845,213.1,0.319,11.105,Low,19.638000000000005,4.804743867243867
19-01-2025,16:18:00,10,Idle,34.243,3.327,3.978,45.72,1.509,5.074,363.53,0.439,10.987,Low,39.190000000000005,7.781035958904109
19-01-2025,16:19:00,35,Active,68.969,2.587,8.663,45.557,0.757,7.022,204.318,0.004,2.64,Medium,46.873,4.388555963657452
19-01-2025,16:20:00,2,Active,31.39,2.114,8.685,30.583,0.635,4.619,181.707,0.674,13.069,Low,63.067,5.753316657695596
19-01-2025,16:21:00,30,Active,52.108,3.964,5.565,37.303,0.788,1.669,298.529,0.893,9.331,Low,54.817,7.793880374905361
19-01-2025,16:22:00,19,Active,65.79,3.638,1.687,32.202,4.922,2.637,105.36,0.043,12.767,Low,18.578000000000003,3.1733028130835494
19-01-2025,16:23:00,39,Active,56.138,1.866,2.222,47.806,4.821,5.128,186.115,0.793,14.718,Low,3.984000000000009,3.8133631110928987
19-01-2025,16:24:00,37,Active,36.289,3.342,9.976,22.063,3.511,2.184,96.435,0.772,11.091,Low,42.827,4.181372761566145
19-01-2025,16:25:00,3,Active,85.837,2.924,2.883,40.951,2.744,3.43,384.073,0.626,1.832,Medium,31.608999999999995,9.155276393888107
19-01-2025,16:26:00,25,Active,51.938,4.03,6.333,24.034,0.173,2.279,106.374,0.83,3.208,Low,74.236,4.249181113685387
19-01-2025,16:27:00,34,Active,71.063,0.132,8.632,19.558,4.4,3.702,320.578,0.952,0.103,Medium,36.44199999999999,15.593832084833155
19-01-2025,16:28:00,22,Idle,34.068,2.297,9.823,22.216,0.023,1.346,435.447,0.252,3.06,Medium,77.554,18.756331840110267
19-01-2025,16:29:00,38,Idle,73.237,1.544,6.081,2.535,2.397,3.802,438.075,0.141,0.771,High,73.495,123.92503536067892
19-01-2025,16:30:00,14,Idle,87.404,1.597,2.907,33.545,4.594,5.666,79.747,0.945,2.502,Low,20.514999999999986,2.308496164423216
19-01-2025,16:31:00,39,Idle,65.184,2.866,6.282,21.429,1.969,7.726,224.606,0.691,10.236,Low,58.881,10.01408890275982
19-01-2025,16:32:00,2,Active,71.841,0.694,9.398,11.871,3.86,2.994,347.995,0.255,9.656,Low,49.528999999999996,27.037137751534456
19-01-2025,16:33:00,32,Active,59.203,0.585,4.952,29.977,2.668,3.4,449.43,0.083,4.476,Medium,43.343,14.508506311134067
19-01-2025,16:34:00,43,Active,66.257,1.806,7.178,43.764,4.652,7.258,323.336,0.59,10.423,Low,9.715999999999994,7.223125726029846
19-01-2025,16:35:00,3,Active,86.851,1.214,9.301,2.671,1.755,6.682,483.158,0.196,11.698,Low,79.779,131.61481885044947
19-01-2025,16:36:00,41,Idle,54.517,3.203,7.619,15.002,0.818,7.775,212.189,0.06,7.34,Low,76.818,13.26015498062742
19-01-2025,16:37:00,8,Maintenance,32.804,3.791,9.313,43.591,0.092,1.142,444.516,0.227,2.015,Medium,55.489,9.968738086160885
19-01-2025,16:38:00,26,Active,79.394,2.012,8.487,5.593,4.006,6.404,477.02,0.562,7.146,Low,54.346999999999994,72.35249507052934
19-01-2025,16:39:00,32,Active,87.697,0.33,7.448,1.025,3.599,8.581,242.025,0.179,12.922,Low,62.985,119.51851851851853
19-01-2025,16:40:00,11,Idle,31.646,4.333,5.495,12.826,3.665,6.808,179.409,0.245,13.518,Low,50.524,12.976204252856935
19-01-2025,16:41:00,50,Active,30.373,3.144,3.628,45.636,0.395,5.965,159.014,0.781,13.49,Low,50.413999999999994,3.409683506304143
19-01-2025,16:42:00,1,Idle,61.673,2.291,9.334,40.918,2.727,8.937,287.69,0.688,12.068,Low,31.811999999999998,6.863161410372633
19-01-2025,16:43:00,15,Active,68.959,2.357,2.089,45.684,2.476,0.159,117.794,0.203,11.74,Low,29.55600000000001,2.5232199468768743
19-01-2025,16:44:00,4,Active,34.663,3.373,6.277,39.016,0.848,9.925,124.135,0.993,4.66,Low,52.504000000000005,3.102134146341464
19-01-2025,16:45:00,4,Active,32.083,3.043,4.601,49.835,3.233,9.43,356.268,0.733,4.81,Medium,17.834999999999994,7.008321038654469
19-01-2025,16:46:00,28,Active,88.312,1.48,2.326,16.973,3.727,2.061,81.284,0.054,6.628,Low,45.757000000000005,4.522561620208091
19-01-2025,16:47:00,10,Active,88.654,3.253,9.324,17.177,2.707,6.425,180.716,0.67,10.366,Low,55.753,9.942014633877978
19-01-2025,16:48:00,11,Idle,41.854,0.378,2.952,33.839,0.285,8.929,464.973,0.581,0.785,High,63.311,13.346336002755534
19-01-2025,16:49:00,50,Active,82.314,1.865,3.598,6.878,3.427,8.344,170.998,0.725,13.299,Low,58.852,21.705762883980704
19-01-2025,16:50:00,23,Active,83.685,4.546,9.729,34.006,2.99,7.52,284.811,0.188,0.005,Medium,36.093999999999994,8.13606238930469
19-01-2025,16:51:00,47,Active,69.361,1.243,8.279,6.99,3.422,9.751,354.808,0.506,1.121,Medium,58.79,44.406508135168956
19-01-2025,16:52:00,3,Active,33.61,2.154,8.23,48.53,2.377,1.169,299.204,0.186,9.43,Low,27.700000000000003,6.040864122753886
19-01-2025,16:53:00,39,Active,77.287,2.784,6.888,42.519,1.537,3.85,111.718,0.547,11.983,Low,42.111000000000004,2.5671086192237875
19-01-2025,16:54:00,39,Active,42.286,2.115,7.377,7.087,3.46,9.882,311.984,0.882,10.051,Low,58.313,38.5784592555954
19-01-2025,16:55:00,17,Idle,87.002,4.388,9.159,20.539,2.098,4.947,119.224,0.877,5.749,Low,58.481,5.535261618459538
19-01-2025,16:56:00,22,Active,87.22,0.957,2.575,25.124,0.629,1.903,332.183,0.989,1.282,Medium,68.58600000000001,12.715625478487215
19-01-2025,16:57:00,27,Idle,44.17,1.689,4.026,39.242,0.063,9.859,206.172,0.859,3.905,Medium,60.128,5.123304010735053
19-01-2025,16:58:00,16,Active,41.202,2.141,4.723,34.017,4.306,6.706,172.373,0.012,13.16,Low,22.923000000000002,4.9225519033612235
19-01-2025,16:59:00,16,Active,67.979,4.799,4.936,38.516,0.958,1.033,138.399,0.557,12.575,Low,51.904,3.502353477072578
19-01-2025,17:00:00,40,Active,51.356,4.124,9.458,42.146,3.366,5.487,302.147,0.769,7.673,Low,24.19399999999999,7.002897139943448
19-01-2025,17:01:00,3,Active,78.5,2.455,9.215,36.0,3.295,2.757,163.422,0.459,2.461,Low,31.049999999999997,4.41681081081081
19-01-2025,17:02:00,47,Active,38.416,1.617,6.013,16.6,4.79,8.927,212.288,0.151,11.483,Low,35.5,12.06181818181818
19-01-2025,17:03:00,33,Active,84.615,4.985,3.902,18.096,3.255,4.644,317.951,0.331,13.509,Low,49.354,16.650136154168415
19-01-2025,17:04:00,42,Maintenance,88.138,4.936,4.612,21.349,4.199,5.766,449.473,0.292,9.616,Low,36.661,20.111548615150568
19-01-2025,17:05:00,2,Active,64.813,2.797,8.038,8.229,2.198,0.591,227.842,0.558,1.33,Medium,69.791,24.687615126232533
19-01-2025,17:06:00,39,Idle,47.896,2.651,7.889,2.41,1.818,1.676,131.883,0.759,6.092,Low,79.41,38.67536656891496
19-01-2025,17:07:00,46,Active,62.378,3.081,8.272,21.279,1.32,5.233,498.01,0.44,14.334,Low,65.521,22.353337223394227
19-01-2025,17:08:00,48,Active,56.517,3.634,9.967,49.852,4.243,1.607,223.267,0.954,9.191,Low,7.7180000000000035,4.390525446393456
19-01-2025,17:09:00,27,Active,80.398,2.583,3.813,12.011,3.564,0.104,458.035,0.947,8.994,Low,52.349000000000004,35.203673814464686
19-01-2025,17:10:00,15,Idle,37.489,0.639,9.52,16.059,3.164,4.627,132.612,0.392,6.291,Low,52.301,7.773726478691599
19-01-2025,17:11:00,7,Active,66.182,2.813,3.994,17.611,3.983,9.005,111.598,0.379,0.174,Low,42.559,5.996346246843265
19-01-2025,17:12:00,45,Idle,32.273,3.241,2.696,13.932,1.725,4.476,89.142,0.356,1.516,Low,68.818,5.969863380658987
19-01-2025,17:13:00,42,Active,59.199,3.11,4.373,7.895,3.479,9.049,399.041,0.63,3.134,Medium,57.315,44.861270376616076
19-01-2025,17:14:00,9,Active,30.451,1.523,5.748,7.784,2.885,2.023,66.223,0.64,11.147,Low,63.366,7.539048269581057
19-01-2025,17:15:00,41,Active,81.223,4.27,6.185,25.361,1.321,2.201,420.654,0.361,3.658,Medium,61.429,15.957437123022647
19-01-2025,17:16:00,6,Active,41.889,1.775,8.772,44.708,1.252,2.616,66.955,0.299,9.558,Low,42.772,1.4648420407806073
19-01-2025,17:17:00,12,Active,59.587,0.898,3.255,23.869,1.37,5.16,169.921,0.46,8.467,Low,62.431,6.832643049579798
19-01-2025,17:18:00,30,Active,66.744,0.947,5.06,38.738,1.798,6.117,296.247,0.71,7.94,Low,43.282,7.455005284614224
19-01-2025,17:19:00,20,Idle,64.002,4.694,9.947,22.64,2.592,8.144,456.325,0.574,11.592,Low,51.44,19.30308798646362
19-01-2025,17:20:00,20,Active,67.482,3.74,5.352,32.221,3.824,3.601,411.698,0.061,7.421,Low,29.539000000000016,12.392703410493363
19-01-2025,17:21:00,46,Active,80.184,4.112,8.098,27.826,1.723,1.777,448.394,0.093,0.358,High,54.944,15.555193228335531
19-01-2025,17:22:00,27,Active,68.081,3.167,8.643,40.67,4.176,4.775,235.212,0.394,13.742,Low,17.569999999999993,5.644636429085673
19-01-2025,17:23:00,20,Active,88.915,0.609,4.518,14.255,2.989,6.668,93.335,0.38,7.796,Low,55.855,6.118321861684692
19-01-2025,17:24:00,7,Active,47.199,1.936,5.836,46.6,4.88,9.571,144.042,0.97,7.963,Low,4.599999999999994,3.02609243697479
19-01-2025,17:25:00,40,Active,56.488,0.507,8.021,32.799,2.235,4.882,237.79,0.941,0.363,Medium,44.851,7.035415248971863
19-01-2025,17:26:00,40,Active,63.486,3.442,6.917,9.059,4.024,6.557,78.241,0.907,10.713,Low,50.70100000000001,7.778208569440303
19-01-2025,17:27:00,30,Active,74.88,4.199,3.786,1.366,0.083,7.805,314.731,0.889,4.801,Medium,97.804,133.02240067624683
19-01-2025,17:28:00,8,Active,58.44,3.401,1.649,10.344,1.024,2.466,337.75,0.541,8.094,Low,79.416,29.773448519040905
19-01-2025,17:29:00,2,Active,34.188,1.745,9.723,21.15,1.278,3.52,346.139,0.45,2.634,Medium,66.07,15.62704288939052
19-01-2025,17:30:00,14,Active,47.068,0.707,2.692,26.613,2.169,9.598,77.368,0.987,11.916,Low,51.697,2.801868685039655
19-01-2025,17:31:00,10,Active,47.833,1.737,3.573,18.775,4.76,5.382,466.771,0.164,2.798,Medium,33.625,23.604096080910242
19-01-2025,17:32:00,50,Active,34.819,4.954,3.709,4.483,2.79,1.25,234.66,0.369,13.4,Low,67.61699999999999,42.79773846434434
19-01-2025,17:33:00,18,Active,65.63,3.77,9.802,28.464,0.438,8.088,250.554,0.593,10.304,Low,67.156,8.503733369535706
19-01-2025,17:34:00,18,Active,32.554,2.463,4.818,27.118,1.601,5.529,177.161,0.862,7.253,Low,56.872,6.300625933565688
19-01-2025,17:35:00,16,Active,56.808,3.759,3.105,11.924,0.978,9.033,84.23,0.652,0.522,Low,78.29599999999999,6.517332095326525
19-01-2025,17:36:00,5,Active,42.674,2.119,7.802,39.276,2.396,7.063,236.43,0.773,12.568,Low,36.763999999999996,5.870245307379084
19-01-2025,17:37:00,31,Maintenance,46.583,1.65,8.513,33.401,3.743,4.993,427.844,0.51,14.239,Low,29.168999999999997,12.436964041742971
19-01-2025,17:38:00,37,Active,58.947,1.383,8.342,29.542,4.063,4.333,315.102,0.137,1.558,Medium,29.828000000000003,10.317006089974461
19-01-2025,17:39:00,20,Active,84.873,3.904,7.642,10.276,3.556,8.223,313.675,0.229,7.065,Low,54.164,27.8179318907414
19-01-2025,17:40:00,23,Active,53.565,2.925,8.124,42.966,1.303,6.794,204.877,0.371,8.415,Low,44.004,4.659896283491789
19-01-2025,17:41:00,32,Active,37.706,4.899,9.205,4.242,1.608,6.924,424.763,0.04,7.72,Low,79.678,81.03071346814193
19-01-2025,17:42:00,42,Active,47.87,2.231,7.7,16.412,1.58,9.463,171.654,0.067,14.812,Low,67.788,9.858373535492763
19-01-2025,17:43:00,17,Idle,83.486,2.217,5.68,18.146,0.184,2.271,325.309,0.844,4.776,Medium,80.014,16.990964170061634
19-01-2025,17:44:00,13,Active,59.285,3.67,5.948,12.199,0.339,1.926,494.403,0.251,5.717,Low,84.411,37.4576104250322
19-01-2025,17:45:00,49,Active,84.158,2.796,7.046,9.585,1.609,7.138,379.724,0.283,11.172,Low,74.325,35.87378365611714
19-01-2025,17:46:00,50,Active,31.79,3.356,5.803,28.991,2.319,6.878,177.34,0.889,8.32,Low,47.819,5.913107265512988
19-01-2025,17:47:00,13,Maintenance,35.881,3.86,9.062,2.87,2.406,6.389,89.248,0.773,2.449,Low,73.07,23.061498708010337
19-01-2025,17:48:00,17,Idle,39.635,0.141,5.461,13.28,2.678,9.854,377.955,0.395,4.162,Medium,59.940000000000005,26.467436974789916
19-01-2025,17:49:00,15,Active,79.425,4.634,4.495,33.82,2.012,7.45,307.182,0.808,0.298,Medium,46.06,8.821998851234923
19-01-2025,17:50:00,26,Active,36.538,4.983,5.16,41.232,1.619,7.862,210.665,0.104,0.942,Medium,42.578,4.98827903011934
19-01-2025,17:51:00,44,Active,82.188,0.44,3.044,17.624,3.306,9.824,474.757,0.562,8.132,Low,49.316,25.491677405498283
19-01-2025,17:52:00,28,Active,68.315,2.104,6.3,8.77,4.007,8.592,487.08,0.944,7.002,Low,51.16000000000001,49.8546571136131
19-01-2025,17:53:00,42,Active,67.559,0.565,5.873,41.631,2.44,9.295,151.191,0.007,14.015,Low,33.968999999999994,3.546503717951725
19-01-2025,17:54:00,45,Idle,30.666,2.302,5.844,7.321,2.399,4.337,332.785,0.861,1.248,Medium,68.689,39.993390217521934
19-01-2025,17:55:00,30,Active,61.954,4.956,6.989,34.788,2.712,5.934,170.502,0.804,4.996,Low,38.092,4.764222644461832
19-01-2025,17:56:00,43,Active,30.921,1.103,7.793,2.664,3.156,2.333,105.855,0.932,5.658,Low,65.77600000000001,28.89055676855895
19-01-2025,17:57:00,35,Idle,66.571,3.111,9.79,29.932,4.48,0.364,161.448,0.799,6.387,Low,25.268,5.219449114185957
19-01-2025,17:58:00,22,Active,86.579,4.006,4.184,22.184,3.445,6.028,341.743,0.419,10.843,Low,43.366,14.740467563837129
19-01-2025,17:59:00,10,Idle,43.803,4.993,5.712,29.332,2.586,5.454,318.908,0.439,5.332,Low,44.808,10.513912699459317
19-01-2025,18:00:00,11,Active,86.801,0.303,3.74,22.895,3.147,0.24,302.86,0.313,3.653,Medium,45.635000000000005,12.674618120945805
19-01-2025,18:01:00,38,Active,30.544,2.301,5.755,42.161,2.577,8.948,85.621,0.182,14.396,Low,32.069,1.9837584856699333
19-01-2025,18:02:00,33,Active,30.395,2.64,6.032,19.929,0.764,5.78,174.76,0.094,3.841,Low,72.431,8.350136174685844
19-01-2025,18:03:00,6,Idle,52.632,2.354,2.315,30.454,4.63,5.55,145.384,0.835,0.817,Low,23.245999999999995,4.622114834361289
19-01-2025,18:04:00,37,Active,42.477,3.589,4.531,1.307,3.467,6.856,227.934,0.102,5.58,Low,64.023,98.80104031209363
19-01-2025,18:05:00,7,Active,62.806,3.228,7.289,27.138,3.022,4.098,114.971,0.978,2.374,Low,42.642,4.085969152036392
19-01-2025,18:06:00,44,Idle,45.375,4.809,2.93,45.819,3.545,2.924,66.363,0.17,5.901,Low,18.730999999999995,1.417437365172259
19-01-2025,18:07:00,12,Active,81.446,3.078,5.138,17.751,3.519,2.641,131.496,0.09,5.14,Low,47.059,7.0127459868807
19-01-2025,18:08:00,7,Maintenance,38.166,1.398,4.081,27.824,0.052,7.318,289.307,0.28,7.944,Low,71.65599999999999,10.037017762975298
19-01-2025,18:09:00,2,Idle,75.424,4.384,1.583,21.846,4.049,1.542,154.076,0.163,10.258,Low,37.664,6.744112754968047
19-01-2025,18:10:00,1,Idle,76.45,1.989,6.235,3.903,4.447,8.361,426.197,0.286,11.052,Low,51.627,86.92575973893534
19-01-2025,18:11:00,23,Active,40.504,4.51,6.469,23.832,3.184,7.602,319.208,0.156,3.106,Medium,44.327999999999996,12.854703608247423
19-01-2025,18:12:00,25,Active,47.423,3.049,6.949,30.844,2.488,4.34,70.778,0.096,9.911,Low,44.276,2.222647908554202
19-01-2025,18:13:00,18,Active,41.596,4.691,5.448,4.35,1.62,6.914,141.321,0.821,2.304,Low,79.45,26.415140186915888
19-01-2025,18:14:00,44,Idle,83.032,2.955,5.17,48.976,0.255,3.631,232.682,0.82,0.205,Medium,48.474000000000004,4.655874819913558
19-01-2025,18:15:00,7,Active,52.891,2.946,7.742,1.806,3.827,1.71,476.77,0.734,2.915,Medium,59.92400000000001,169.91090520313614
19-01-2025,18:16:00,3,Active,70.027,4.361,9.23,22.504,2.823,1.81,341.018,0.667,3.828,Medium,49.266,14.508934649421374
19-01-2025,18:17:00,29,Active,36.678,1.745,5.347,23.476,3.902,6.408,415.664,0.811,12.668,Low,37.504000000000005,16.982513482595195
19-01-2025,18:18:00,10,Maintenance,56.704,4.133,6.825,10.976,0.131,8.697,404.897,0.687,2.489,Medium,87.714,33.80903473613894
19-01-2025,18:19:00,43,Active,49.294,4.159,8.052,30.67,0.92,6.183,70.374,0.784,8.908,Low,60.129999999999995,2.222102936532996
19-01-2025,18:20:00,5,Active,30.669,2.97,6.166,1.115,2.925,5.834,421.997,0.663,10.425,Low,69.635,199.525768321513
19-01-2025,18:21:00,34,Active,76.754,3.649,1.579,1.443,4.594,9.776,419.358,0.314,11.605,Low,52.617,171.65697912402783
19-01-2025,18:22:00,8,Active,43.301,2.373,6.342,19.68,0.8,9.605,87.176,0.242,14.968,Low,72.32,4.215473887814314
19-01-2025,18:23:00,14,Idle,33.451,3.791,6.381,12.218,4.186,6.323,444.884,0.769,4.197,Medium,45.922,33.65743682856711
19-01-2025,18:24:00,40,Active,69.33,2.048,8.978,35.527,1.868,5.784,228.036,0.484,10.944,Low,45.79299999999999,6.242943575984888
19-01-2025,18:25:00,6,Idle,58.903,4.471,8.842,22.902,3.625,4.442,169.002,0.968,6.26,Low,40.848,7.070621705296628
19-01-2025,18:26:00,1,Maintenance,71.599,0.22,1.739,46.421,2.366,8.854,427.217,0.921,5.421,Low,29.918999999999997,9.009025537209252
19-01-2025,18:27:00,33,Active,45.183,3.557,9.322,17.352,3.991,4.749,258.892,0.743,14.626,Low,42.738,14.107018308631211
19-01-2025,18:28:00,40,Active,64.32,1.016,4.756,46.656,1.601,6.602,235.073,0.993,8.814,Low,37.334,4.9327052207487
19-01-2025,18:29:00,11,Maintenance,44.017,2.59,5.546,42.854,4.212,8.703,244.384,0.247,3.35,Medium,15.02600000000001,5.572672960277283
19-01-2025,18:30:00,50,Active,43.962,1.027,2.668,8.932,0.89,1.97,272.094,0.64,14.205,Low,82.168,27.395690696737816
19-01-2025,18:31:00,24,Active,56.172,3.512,9.08,6.395,0.611,9.358,329.36,0.237,1.735,Medium,87.495,44.538201487491555
19-01-2025,18:32:00,10,Active,67.453,3.144,3.913,49.557,1.631,3.468,112.422,0.217,4.587,Low,34.132999999999996,2.223668334750875
19-01-2025,18:33:00,44,Active,77.413,3.133,4.335,1.426,0.786,3.912,459.778,0.469,8.503,Low,90.714,189.52102225886233
19-01-2025,18:34:00,23,Active,78.657,4.347,7.863,18.345,1.385,8.008,404.117,0.169,8.59,Low,67.805,20.889997415352806
19-01-2025,18:35:00,16,Idle,53.133,3.471,3.149,28.216,4.698,2.895,182.668,0.762,8.799,Low,24.804000000000002,6.252327491785323
19-01-2025,18:36:00,37,Active,78.381,2.077,7.879,9.713,4.047,4.934,178.244,0.281,8.232,Low,49.81700000000001,16.638103239055354
19-01-2025,18:37:00,16,Active,86.066,1.958,6.503,35.939,0.002,4.087,265.204,0.071,2.902,Medium,64.041,7.179512168710577
19-01-2025,18:38:00,44,Active,85.403,1.486,7.486,41.707,3.896,2.255,398.658,0.434,10.078,Low,19.333,9.33472264499965
19-01-2025,18:39:00,31,Active,37.606,3.743,3.33,31.655,4.198,8.801,137.963,0.814,6.038,Low,26.364999999999995,4.22486602357985
19-01-2025,18:40:00,6,Active,87.487,2.846,3.641,24.024,2.924,4.19,68.659,0.621,9.379,Low,46.736000000000004,2.743726023017903
19-01-2025,18:41:00,30,Active,81.789,3.372,8.219,29.106,3.492,4.957,490.19,0.839,6.453,Low,35.97399999999999,16.282136451205737
19-01-2025,18:42:00,37,Active,37.011,0.755,9.149,14.722,4.752,6.879,391.733,0.745,9.001,Low,37.758,24.91623203154815
19-01-2025,18:43:00,1,Active,46.751,0.402,9.089,28.223,2.95,2.93,317.01,0.292,0.911,Medium,42.277,10.84796222153783
19-01-2025,18:44:00,42,Active,70.671,4.898,7.697,41.84,1.445,5.549,187.309,0.819,3.188,Low,43.709999999999994,4.372292250233427
19-01-2025,18:45:00,25,Active,79.265,1.072,2.117,4.742,1.164,8.145,69.732,0.065,7.885,Low,83.618,12.144200626959247
19-01-2025,18:46:00,46,Active,62.405,0.775,5.186,17.661,3.959,6.845,212.82,0.029,5.205,Low,42.748999999999995,11.404533519104012
19-01-2025,18:47:00,21,Active,39.599,3.926,4.55,8.521,1.919,7.948,248.114,0.923,3.973,Medium,72.289,26.059657598991702
